instrument_name,date,expiry,strike,option_type,spot,bid_price,ask_price,mark_price,mark_iv,price_btc,price_usd,open_interest,volume_24h,time_to_expiry,iv,delta
BTC-23JAN26-101000-C,2026-01-18 06:52:17.242887,2026-01-23,101000.0,call,95147.53,0.0015,0.0017,0.00162772,36.18,0.00162772,154.8735375316,140.6,0,0.010958904109589041,0.3618,0.059724833368601606
BTC-26JUN26-90000-P,2026-01-18 06:52:17.242893,2026-06-26,90000.0,put,95147.53,0.079,0.08,0.07947411,44.68,0.07947411,7561.7652654483,2021.8,0,0.4328767123287671,0.4468,-0.36836560335852275
BTC-26JUN26-220000-P,2026-01-18 06:52:17.242900,2026-06-26,220000.0,put,95147.53,1.255,1.274,1.26381914,51.62,1.26381914,120249.2695377242,0.2,0,0.4328767123287671,0.5162,-0.9892247301245933
BTC-27MAR26-340000-C,2026-01-18 06:52:17.242906,2026-03-27,340000.0,call,95147.53,0.0,0.0001,3.137e-05,82.45,3.137e-05,2.9847780161,925.0,0,0.18356164383561643,0.8245,0.00030343718324134277
BTC-25DEC26-65000-C,2026-01-18 06:52:17.242913,2026-12-25,65000.0,call,95147.53,0.387,0.3955,0.39207101,51.88,0.39207101,37304.5881861053,2.2,0,0.9315068493150684,0.5188,0.8440753357999322
BTC-27MAR26-98000-C,2026-01-18 06:52:17.242919,2026-03-27,98000.0,call,95147.53,0.0585,0.0595,0.05893717,39.6,0.05893717,5607.7261506900995,410.2,0,0.18356164383561643,0.396,0.46443282147921927
BTC-25DEC26-190000-C,2026-01-18 06:52:17.242926,2026-12-25,190000.0,call,95147.53,0.021,0.0225,0.02173068,46.99,0.02173068,2067.6205272203997,57.5,0,0.9315068493150684,0.46990000000000004,0.09711238830122376
BTC-25SEP26-105000-P,2026-01-18 06:52:17.242931,2026-09-25,105000.0,put,95147.53,0.187,0.1905,0.18863187,45.38,0.18863187,17947.8565097811,98.7,0,0.6821917808219178,0.45380000000000004,-0.5300806639050054
BTC-6FEB26-105000-C,2026-01-18 06:52:17.242938,2026-02-06,105000.0,call,95147.53,0.005,0.0055,0.00529638,36.42,0.00529638,503.93747494139996,198.1,0,0.049315068493150684,0.3642,0.11943045284118681
BTC-25DEC26-230000-P,2026-01-18 06:52:17.242944,2026-12-25,230000.0,put,95147.53,1.2995,1.3315,1.31443096,48.32,1.31443096,125064.85919952879,0.0,0,0.9315068493150684,0.4832,-0.9514888962285157
BTC-6FEB26-94000-C,2026-01-18 06:52:17.242950,2026-02-06,94000.0,call,95147.53,0.0405,0.0415,0.04103336,37.13,0.04103336,3904.2228516008,5.7,0,0.049315068493150684,0.3713,0.5747126912412751
